"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","consortium[berd]","consortium[daphne4nfdi]","consortium[dataplant]","consortium[fairagro]","consortium[fairmat]","consortium[ghga]","consortium[konsortswd]","consortium[mardi]","consortium[nfdi4biodiversity]","consortium[nfdi4bioimage]","consortium[nfdi4cat]","consortium[nfdi4chem]","consortium[nfdi4culture]","consortium[nfdi4datascience]","consortium[nfdi4earth]","consortium[nfdi4energy]","consortium[nfdi4health]","consortium[nfdi4immuno]","consortium[nfdi4ing]","consortium[nfdimatwerk]","consortium[nfdi4memory]","consortium[nfdi4microbiota]","consortium[nfdi4objects]","consortium[nfdixcs]","consortium[punch4nfdi]","consortium[text]","consortium[other]","role[developer]","role[researcher]","role[steward]","role[administrator]","role[manage]","role[unsure]","role[other]","solutions[build]","solutions[buildcomment]","solutions[link]","solutions[linkcomment]","solutions[structure]","solutions[structurecomment]","solutions[informed]","solutions[informedcomment]","solutions[uninterested]","solutions[uninterestedcomment]","solutions[other]","solutions[othercomment]","sustain[none]","sustain[hope]","sustain[community]","sustain[we]","sustain[other]","disseminate[socialmedia]","disseminate[webpage]","disseminate[publication]","disseminate[other]","metadata[codemeta]","metadata[citationcff]","metadata[zenodojson]","metadata[other]","ontologies","sourcecode[none]","sourcecode[private]","sourcecode[gitlab]","sourcecode[github]","sourcecode[unsure]","sourcecode[other]"
"54","","1","en","1959396156","2025-03-06 10:21:58","2025-03-06 10:22:22","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","","","en","2072983534","2025-03-06 10:30:02","2025-03-06 10:30:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","0","en","443235366","2025-03-06 10:37:17","2025-03-06 10:37:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","2025-03-06 11:11:15","3","en","183973659","2025-03-06 11:07:28","2025-03-06 11:11:15","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","Y","we are working on a metadata schema","","","","","","","","","Y","Y","","Y","","Y","","Y","","","","","","","Y","Y","",""
"58","","1","en","18704243","2025-03-06 12:17:33","2025-03-06 12:17:54","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","","1","en","1910698729","2025-03-06 13:42:12","2025-03-06 13:42:22","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","","2","en","1161320461","2025-03-06 13:42:25","2025-03-06 13:58:26","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","Y","Y","","","Y","Y","Y","","","Y","","","","","","Y","Y","","Zenodo"
"64","","","en","946918091","2025-03-06 13:44:58","2025-03-06 13:44:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","","1","en","663595590","2025-03-06 14:26:49","2025-03-06 14:27:09","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","","2","en","2122322601","2025-03-06 16:01:08","2025-03-06 16:01:57","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","",""
"67","","","en","1207257305","2025-03-06 16:37:55","2025-03-06 16:37:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","0","en","1146703592","2025-03-06 16:56:03","2025-03-06 16:56:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","","2","en","440806335","2025-03-06 20:52:12","2025-03-06 20:52:53","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","Y","","","","","","","Y","","","","Y","","","","","","","Y",""
"70","","1","en","1643600044","2025-03-07 08:04:21","2025-03-07 08:04:49","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","2","en","1046361758","2025-03-07 08:09:51","2025-03-07 08:12:32","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","","","Y","",""
"72","","1","en","788126902","2025-03-07 08:20:24","2025-03-07 08:20:49","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","1","en","829496027","2025-03-07 08:49:57","2025-03-07 08:50:16","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","","en","1494042074","2025-03-07 12:11:20","2025-03-07 12:11:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","0","en","1580751131","2025-03-07 12:52:42","2025-03-07 12:53:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","","2","en","1213067474","2025-03-07 13:27:51","2025-03-07 13:40:32","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","Y","","","","","Y","Y","","","","","","","","","","","Y","",""
"77","","1","en","148053322","2025-03-07 13:32:32","2025-03-07 13:32:46","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","1","en","1456872996","2025-03-07 13:36:02","2025-03-07 13:36:21","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","1","en","1047902783","2025-03-07 14:26:12","2025-03-07 14:28:52","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","2025-03-07 15:00:56","3","en","2111022822","2025-03-07 14:35:55","2025-03-07 15:00:56","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","Y","I'm not sure what you mean by marketplace (as we don't sell anything), but we have out website/dashboard in which we have our offered services","","","","","","","","","","","","Y","","","","Y","Y","Y","Events, conferences, summer schools...","Y","Y","Y","","","","","Y","Y","",""
"81","","","en","1094215859","2025-03-07 15:05:49","2025-03-07 15:05:49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","","","en","265605704","2025-03-07 19:36:32","2025-03-07 19:36:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","2025-03-07 20:31:04","3","en","433839124","2025-03-07 20:25:10","2025-03-07 20:31:04","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","Y","Y","","","","","","","Y","decentral indexing of software based on standardized metadata files","","","","","","","","","Y","Y","we attach to existing sustainable projects instead of developing new solutions ","Y","Y","Y","","Y","Y","Y","other discipline specific sidecar files, dep5, oer metadata","","","","Y","Y","",""
"84","2025-03-09 17:28:57","3","en","1735692800","2025-03-09 17:14:05","2025-03-09 17:28:57","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","some developments from other NFDI consortia might be interesting for us to bring own tools and software on the other market place","","","","","","Y","Y","","","Y","Y","Y","","","Y","","","we have a long list of ontologies on our Ontology Worldmap (https://github.com/nfdi4cat/Ontology-Overview-of-NFDI4Cat) with more than 40 core ontologies","","","Y","Y","","Zenodo"
"86","","2","en","2073016825","2025-03-10 10:05:24","2025-03-10 10:07:00","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","Y","","","","","","","","","","Y","","","Y","Y","Y","trainings","","","","","","","","Y","Y","",""
"87","","1","en","1788839873","2025-03-10 12:05:28","2025-03-10 12:05:50","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","1","en","1597984398","2025-03-10 15:37:29","2025-03-10 15:37:57","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","","","en","1893576700","2025-03-10 20:56:27","2025-03-10 20:56:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","1","en","1938536715","2025-03-11 09:57:31","2025-03-11 09:58:00","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","0","en","719512824","2025-03-11 10:53:51","2025-03-11 10:53:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","1","en","885448076","2025-03-11 11:04:14","2025-03-11 11:05:48","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","2","en","1119482235","2025-03-11 12:48:54","2025-03-11 12:53:20","","","","","","","","","","","","","","","","","","","","","","","","","","","Dummy","","","","","","","Dummy","","","","","","","","","","","bbb","bbb","","","","","dummy","","","","dummy","","","","dummy","","","Y","","","",""
"95","","","en","816141392","2025-03-11 14:49:09","2025-03-11 14:49:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","2025-03-11 15:37:59","3","en","893214270","2025-03-11 15:29:07","2025-03-11 15:37:59","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","Y","CRAN, PyPi, SSC (Stata Boston Repository), Zenodo","","","","","","","","","","Y","","","","","Y","Y","Conferences","","","","Software-specific documetnation (e.g. R Package documentation using roxygen)","","","","Y","Y","",""
"97","2025-03-11 18:02:57","3","en","1785137901","2025-03-11 17:43:53","2025-03-11 18:02:57","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","Y","Our software illustrates the design of an API. Maybe it can be used as a template for developers.","","","","","","","We provide a living document and a demonstrator, which is usable beyond project ending.","","","","","","","","All kind, you can provide a configuration, and you use our design for data exchange and describing your data.","","Y","","","","",""
"98","","","en","1690561439","2025-03-12 07:12:51","2025-03-12 07:12:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","2025-03-12 10:41:31","3","en","1524243892","2025-03-12 10:39:11","2025-03-12 10:41:31","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","Depends on the service/software","Y","Y","Y","","","","","","","","","Y","Y","",""
"100","","1","en","13912336","2025-03-12 10:59:18","2025-03-12 10:59:29","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","","2","en","684579714","2025-03-12 11:37:00","2025-03-12 11:40:30","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","registering our software application ","","","","","","","","","","Y","","","","","","","","","","","","","","Y","",""
"102","","2","en","1683859735","2025-03-12 13:14:00","2025-03-12 13:15:37","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","Y","Y","","","Y","","","","","","","","","","","","Y","","","","","","","Y","","","Y","","","","","","","Y","",""
"103","2025-03-12 14:12:54","3","en","1477555302","2025-03-12 14:05:59","2025-03-12 14:12:54","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","Y","SSH Open Marketplace as registry for curating/disseminating services/tools/training materials: https://marketplace.sshopencloud.eu/","","","","","","","nfdi.software","Is on our forecast but no specific integration plan.","","Y","Y","Y","","","","Y","project website, marketplace","","","","We don't set a policy yet, although software development guidelines are in the workplan.","","","","Y","Y","",""
"104","","","en","83185863","2025-03-12 16:03:37","2025-03-12 16:03:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","","2","en","834389284","2025-03-13 09:08:13","2025-03-13 09:11:02","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","Y","","","","","","","","","","Y","","","","Y","Y","","","","","","","","","Y","Y","",""
"110","2025-03-13 10:22:39","3","en","2063589410","2025-03-13 09:56:07","2025-03-13 10:22:39","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","Y","","","Y","","","","","","","Y","Currently we have software created and coming from different institutes with their own repositories or marketplaces. We probably won't change dramatically this structure, however for software and metadata created for the consortium specifically we still need to decide how to structure and manage the repositories and marketplace.","","","","","","","","Y","Y","Y","","","","Y","","","","","We do not have that across all software we have, however this might be useful to add on our repository.","","","","Y","Y","","Under the nf-core project"
"111","","2","en","650622241","2025-03-13 11:05:35","2025-03-13 11:14:43","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","",""
"112","","1","en","171155698","2025-03-13 11:29:46","2025-03-13 11:30:14","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113","","1","en","568440124","2025-03-13 13:21:39","2025-03-13 13:22:02","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114","2025-03-14 14:13:46","3","en","213429620","2025-03-14 10:44:12","2025-03-14 14:13:46","","","","","","","","","","","","","","","","","","","","","","","","","","","Research Software Task Force OA7","Y","Y","","","","","","Y","","","","","","","","","","","","","Y","","","We do not build software, we curate metadata (swMATH)","","Y","","zbmath.org","Y","","","","DataCite, Openaire, CodeMeta","Y","","","","",""
"115","2025-03-15 12:48:44","3","en","451264211","2025-03-15 12:46:52","2025-03-15 12:48:44","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","Y","Y","","Y","Y","Y","","","Y","Y","","","","","Y","Y","",""
